HKAdirect 0.70beta(20201104beta).
Sebastian E. Ramos-Onsins, Emanuelle Raineri and Luca Ferretti

OUTPUT FILE: date Wed Nov  4 13:23:57 2020 

Input data from the file: ../examples/HKA1000loci.txt

Title: Title: Checking HKA test with 1000 loci from 9001 to 10000 using the file  ./cut_mstatspop_4OutgT2t100_1e6.txt  
nloci: 100

#IDloci	nsam	obs_S	obs_div	length_pol	length_div	factor_chrn	expHKA_S	expVar_S	expHKA_div	expVar_D	expHKA_theta	partialHKA
9049	4	98	387.50	10000.00	10000.00	1.00	129.47	6917.53	356.03	5343.17	0.00706	0.329	
9050	4	69	715.00	10000.00	10000.00	1.00	209.07	17910.12	574.93	13579.78	0.01140	2.540	
9051	4	113	441.00	10000.00	10000.00	1.00	147.74	8986.40	406.26	6899.97	0.00806	0.309	
9052	4	76	593.75	10000.00	10000.00	1.00	178.60	13096.52	491.15	9981.86	0.00974	1.859	
9053	4	163	441.00	10000.00	10000.00	1.00	161.07	10667.15	442.93	8161.69	0.00879	0.001	
9054	4	356	484.00	10000.00	10000.00	1.00	224.00	20544.09	616.00	15545.04	0.01222	1.969	
9055	4	383	419.25	10000.00	10000.00	1.00	213.94	18748.68	588.31	14205.67	0.01167	3.536	
9056	4	104	636.75	10000.00	10000.00	1.00	197.54	15999.47	543.21	12152.80	0.01077	1.267	
9057	4	149	451.00	10000.00	10000.00	1.00	160.00	10527.39	440.00	8056.85	0.00873	0.027	
9058	4	125	743.75	10000.00	10000.00	1.00	231.67	21966.52	637.08	16605.54	0.01264	1.203	
9059	4	309	470.00	10000.00	10000.00	1.00	207.74	17683.73	571.26	13410.77	0.01133	1.344	
9060	4	191	398.50	10000.00	10000.00	1.00	157.20	10164.91	432.30	7784.90	0.00857	0.259	
9061	4	120	721.00	10000.00	10000.00	1.00	224.27	20592.77	616.73	15581.34	0.01223	1.226	
9062	4	689	548.50	9999.00	9999.00	1.00	330.01	44431.92	907.49	33308.89	0.01800	6.770	
9063	4	105	408.50	10000.00	10000.00	1.00	136.94	7730.54	376.56	5955.54	0.00747	0.303	
9064	4	335	408.50	10000.00	10000.00	1.00	198.27	16117.75	545.23	12241.17	0.01081	2.687	
9065	4	297	406.75	10000.00	10000.00	1.00	187.67	14450.44	516.08	10994.85	0.01024	1.914	
9066	4	336	569.75	10000.00	10000.00	1.00	241.54	23867.18	664.21	18021.83	0.01317	0.869	
9067	4	140	578.00	10000.00	10000.00	1.00	191.47	15037.69	526.53	11433.96	0.01044	0.408	
9068	4	371	464.50	10000.00	10000.00	1.00	222.80	20325.76	612.70	15382.21	0.01215	2.508	
9069	4	127	823.25	9999.00	9999.00	1.00	253.41	26257.56	696.84	19801.94	0.01382	1.415	
9070	4	140	428.25	10000.00	10000.00	1.00	151.54	9450.74	416.71	7248.78	0.00827	0.032	
9071	4	92	698.00	10000.00	10000.00	1.00	210.67	18183.70	579.33	13784.00	0.01149	1.796	
9072	4	229	487.00	10000.00	10000.00	1.00	190.94	14954.56	525.06	11371.81	0.01041	0.224	
9073	4	245	448.00	10000.00	10000.00	1.00	184.80	14015.16	508.20	10669.28	0.01008	0.598	
9074	4	140	679.75	9999.00	9999.00	1.00	218.60	19570.78	601.15	14819.07	0.01193	0.733	
9075	4	45	506.25	10000.00	10000.00	1.00	147.00	8898.13	404.25	6833.65	0.00802	2.692	
9076	4	158	513.50	10000.00	10000.00	1.00	179.07	13164.58	492.43	10032.80	0.00977	0.078	
9077	4	228	426.50	10000.00	10000.00	1.00	174.54	12510.88	479.96	9543.40	0.00952	0.528	
9078	4	37	423.25	10000.00	10000.00	1.00	122.74	6223.08	337.51	4819.40	0.00669	2.706	
9079	4	154	519.00	10000.00	10000.00	1.00	179.47	13223.06	493.53	10076.57	0.00979	0.113	
